iter	RMSE
0	7.259838582
1	6.359850504
2	5.646702966
3	5.014757298
4	4.497680856
5	4.065244078
6	3.708998049
7	3.411595031
8	3.16087054
9	2.96700616
10	2.812025973
11	2.687698711
12	2.587992472
13	2.50379558
14	2.44081028
15	2.39195985
16	2.348396595
17	2.310569453
18	2.277477256
19	2.254878002
20	2.233342489
21	2.214107263
22	2.200202845
23	2.185854115
24	2.175540988
25	2.162134813
26	2.153053238
27	2.143861185
28	2.13487269
29	2.126766621
30	2.120194805
31	2.114783932
32	2.109620919
33	2.105113564
34	2.098753144
35	2.092940454
36	2.088807373
37	2.083673746
38	2.07702618
39	2.072064782
40	2.065065449
41	2.058390647
42	2.053067921
43	2.047518533
44	2.043756
45	2.039967767
46	2.036536111
47	2.032210489
48	2.029584091
49	2.024686503
50	2.020342859
51	2.018529802
52	2.012449054
53	2.008075453
54	2.003771208
55	1.9993682
56	1.994690891
57	1.990940173
58	1.987426797
59	1.985556342
60	1.980662955
61	1.977108515
62	1.972966524
63	1.968490174
64	1.966084211
65	1.963895534
66	1.959568073
67	1.957098972
68	1.954645819
69	1.948299274
70	1.945962129
71	1.942609972
72	1.938449276
73	1.937433997
74	1.935638985
75	1.93392304
76	1.931850166
77	1.928421179
78	1.92543191
79	1.924373799
80	1.922078777
81	1.92134296
82	1.91946167
83	1.917763602
84	1.915168123
85	1.913187875
86	1.911474847
87	1.909243855
88	1.905680942
89	1.902600249
90	1.900128891
91	1.89683054
92	1.894224386
93	1.892535035
94	1.889348557
95	1.888061697
96	1.886520902
97	1.885642695
98	1.882603282
99	1.881429118
100	1.878263861
101	1.875588971
102	1.873252306
103	1.869737123
104	1.866315152
105	1.862948599
106	1.860710884
107	1.858064167
108	1.85487564
109	1.852457952
110	1.848787668
111	1.845052877
112	1.841703489
113	1.841242184
114	1.838472298
115	1.835664156
116	1.830894041
117	1.829953485
118	1.826225572
119	1.82486408
120	1.820889241
121	1.817807105
122	1.81591177
123	1.813681116
124	1.81058744
125	1.808361202
126	1.805874489
127	1.802116316
128	1.800240343
129	1.796686257
130	1.794367063
131	1.791662563
132	1.788388847
133	1.784020417
134	1.781110368
135	1.779412964
136	1.777179521
137	1.776067739
138	1.773715517
139	1.770353568
140	1.767694747
141	1.765629315
142	1.763079192
143	1.760247933
144	1.759851352
145	1.757663176
146	1.756023813
147	1.754669707
148	1.752274272
149	1.749130911
150	1.746179679
151	1.744615761
152	1.743815071
153	1.743640585
154	1.74140094
155	1.738839014
156	1.737191611
157	1.735213734
158	1.732767924
159	1.729502188
160	1.728566002
161	1.726211849
162	1.724477407
163	1.721212539
164	1.71916371
165	1.71753059
166	1.714859413
167	1.712621278
168	1.711090283
169	1.709392058
170	1.707096964
171	1.704341367
172	1.702555789
173	1.700266747
174	1.697531112
175	1.696276008
176	1.694252687
177	1.692019736
178	1.69053058
179	1.688522492
180	1.68655509
181	1.684782996
182	1.683295098
183	1.681729357
184	1.680380907
185	1.67775096
186	1.676674877
187	1.674795276
188	1.672273511
189	1.671626181
190	1.6692257
191	1.666170023
192	1.663867173
193	1.661389279
194	1.660103919
195	1.658698464
196	1.657343842
197	1.654978017
198	1.651878032
199	1.650074542
200	1.647318121
201	1.645540167
202	1.644013703
203	1.642450348
204	1.641405141
205	1.639055635
206	1.637283854
207	1.635433007
208	1.634457339
209	1.632385441
210	1.630832603
211	1.628181858
212	1.625337344
213	1.623212429
214	1.623013429
215	1.620213891
216	1.619217187
217	1.617249777
218	1.615812047
219	1.613414334
220	1.611755243
221	1.609448277
222	1.608704345
223	1.607300971
224	1.606271345
225	1.605006797
226	1.603793212
227	1.601120533
228	1.600307765
229	1.59835781
230	1.595728126
231	1.593760799
232	1.591314243
233	1.589780186
234	1.588598007
235	1.587212484
236	1.585717082
237	1.582793244
238	1.582382619
239	1.580119311
240	1.578207117
241	1.577221453
242	1.575748339
243	1.573296853
244	1.570869499
245	1.569242536
246	1.568634568
247	1.567646689
248	1.566337655
249	1.565298956
250	1.564362124
251	1.562998861
252	1.56136543
253	1.559200619
254	1.558190139
255	1.556324156
256	1.555547372
257	1.554600571
258	1.553441891
259	1.55143955
260	1.549573132
261	1.549482411
262	1.54833404
263	1.547133115
264	1.545499977
265	1.544898815
266	1.543832078
267	1.541239704
268	1.54037593
269	1.538616086
270	1.538154499
271	1.537507861
272	1.536160051
273	1.535332083
274	1.532898675
275	1.532329473
276	1.531549699
277	1.530065678
278	1.528673144
279	1.526955387
280	1.52622522
281	1.524564897
282	1.522598777
283	1.521547528
284	1.521107628
285	1.520472372
286	1.519179344
287	1.517437791
288	1.514633931
289	1.513397286
290	1.512424106
291	1.509927416
292	1.508496014
293	1.50655008
294	1.505058564
295	1.503950354
296	1.501930381
297	1.501338162
298	1.499529464
299	1.499303859
300	1.498584585
301	1.496180043
302	1.495492449
303	1.494400399
304	1.49353052
305	1.492648641
306	1.492080605
307	1.490212582
308	1.488338217
309	1.486933709
310	1.485918424
311	1.485164056
312	1.482672201
313	1.480814993
314	1.479178122
315	1.477643854
316	1.476742381
317	1.476116688
318	1.474640769
319	1.473038025
320	1.471232584
321	1.469583009
322	1.468250526
323	1.467383034
324	1.466320836
325	1.465506442
326	1.463803952
327	1.462657907
328	1.460415599
329	1.459010676
330	1.457917743
331	1.456638456
332	1.455586217
333	1.45362058
334	1.451989344
335	1.45086916
336	1.449106473
