iter	Passed	Remaining
0	39	39410
1	144	72350
2	202	67304
3	231	57765
4	261	52039
5	290	48065
6	319	45317
7	352	43725
8	381	42031
9	409	40561
10	439	39498
11	473	39010
12	505	38349
13	534	37655
14	565	37109
15	596	36657
16	624	36127
17	654	35720
18	685	35411
19	717	35148
20	747	34840
21	781	34721
22	809	34405
23	839	34157
24	869	33901
25	900	33745
26	931	33563
27	960	33328
28	988	33087
29	1021	33013
30	1051	32864
31	1081	32715
32	1112	32597
33	1139	32373
34	1168	32226
35	1200	32143
36	1234	32129
37	1263	31989
38	1295	31929
39	1329	31910
40	1359	31788
41	1388	31664
42	1417	31553
43	1448	31463
44	1477	31358
45	1507	31256
46	1536	31163
47	1564	31033
48	1593	30930
49	1626	30896
50	1657	30843
51	1688	30781
52	1717	30694
53	1747	30617
54	1777	30546
55	1809	30496
56	1838	30421
57	1866	30314
58	1895	30235
59	1924	30155
60	1954	30084
61	1984	30023
62	2013	29950
63	2043	29886
64	2075	29849
65	2106	29805
66	2136	29746
67	2166	29692
68	2196	29640
69	2228	29600
70	2257	29535
71	2285	29457
72	2316	29418
73	2345	29352
74	2373	29275
75	2402	29207
76	2432	29152
77	2463	29119
78	2494	29079
79	2529	29093
80	2557	29020
81	2587	28965
82	2618	28927
83	2646	28854
84	2675	28797
85	2705	28749
86	2734	28697
87	2767	28684
88	2798	28647
89	2829	28609
90	2858	28557
91	2888	28505
92	2920	28480
93	2952	28460
94	2979	28384
95	3008	28329
96	3039	28293
97	3068	28246
98	3101	28224
99	3132	28192
100	3161	28144
101	3188	28070
102	3218	28029
103	3247	27977
104	3278	27949
105	3308	27907
106	3341	27890
107	3374	27868
108	3404	27830
109	3435	27794
110	3467	27767
111	3495	27715
112	3524	27669
113	3554	27624
114	3583	27579
115	3613	27539
116	3641	27486
117	3671	27443
118	3703	27414
119	3731	27364
120	3766	27360
121	3795	27311
122	3825	27274
123	3854	27229
124	3882	27179
125	3913	27145
126	3943	27105
127	3972	27064
128	4005	27043
129	4035	27010
130	4066	26974
131	4095	26928
132	4127	26908
133	4156	26865
134	4188	26835
135	4219	26804
136	4248	26764
137	4282	26751
138	4312	26712
139	4345	26696
140	4375	26653
141	4406	26622
142	4439	26606
143	4471	26580
144	4500	26536
145	4530	26497
146	4560	26465
147	4595	26453
148	4626	26421
149	4659	26401
150	4687	26356
151	4716	26314
152	4746	26275
153	4777	26243
154	4807	26208
155	4837	26172
156	4869	26147
157	4899	26112
158	4929	26072
159	4957	26029
160	4989	26001
161	5020	25967
162	5049	25927
163	5082	25905
164	5111	25867
165	5141	25832
166	5172	25802
